source,number,answer,answer_lookup_source,stem
國考題 病理,102-2 第87題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何種肺癌屬於神經內分泌細胞腫瘤？
國考題 病理,102-2 第88題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者可導致肺水腫？
國考題 病理,102-2 第89題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,一位 40 歲病人主訴咳血，X 光顯示局部肺實質化（consolidation）併有新月形腎絲球腎炎（crescentic glomerulonephritis）。其診斷最有可能為：
國考題 病理,103-1 第89題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,肺氣腫與下列何者最相關？
國考題 病理,103-1 第98題,CD,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,50 歲男性，患肺小細胞癌，肌無力，臨床診斷朗伯－伊頓肌無力症候群（Lambert-Eaton myasthenic syndrome），下列敘述何者正確？
國考題 病理,103-2 第84題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何條靜脈的血栓最不易造成肺栓塞？
國考題 病理,103-2 第89題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,70 歲男性抽菸史50 年，患有肺氣腫。對其症狀之敘述，下列何者錯誤？
國考題 病理,104-1 第84題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,一位 25 歲女性在生產後不久突發呼吸困難、發紺、血壓下降及休克，病人接續發生肺水腫。下列何 者最不可能出現在病人的肺部微血管循環中？
國考題 病理,104-1 第89題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關非特異性間質肺炎（non-specific interstitial pneumonia）的敘述，何者正確？
國考題 病理,104-1 第90題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,一位 45 歲中年男子，主訴呼吸短促，胸部X 光顯示，右肺區hyperlucent 且有右肺塌陷呈白色陰影 貼近心臟邊緣，縱膈腔左移。下列何項為最有可能的診斷？
國考題 病理,104-2 第81題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,50歲男性，發生左心室梗塞，二週後出現肺充血及肋膜腔積水，在肺部出現大量褐色的心衰 竭細胞（heart failure cells），下列何者是此種褐色細胞的來源？
國考題 病理,104-2 第85題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何種肺氣腫（emphysema）與α1-antitrypsin缺乏最有相關？
國考題 病理,104-2 第86題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列敘述有關結締組織疾病侵犯肺部的病理變化，何者錯誤？
國考題 病理,104-2 第87題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關間皮瘤（mesothelioma）的敘述，何者錯誤？
國考題 病理,104-2 第88題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,以下何者不是造成肺部嗜酸性白血球增多的原因？
國考題 病理,105-1 第82題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,有關肺心症（cor pulmonale）的敘述，下列何者錯誤？
國考題 病理,105-1 第86題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者為移植肺發生慢性排斥之最主要的病理變化？
國考題 病理,105-1 第87題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,急性間質性肺炎與下列那一項較無關？
國考題 病理,105-1 第99題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,有一農夫經常在稻穀收割期時發生急性發燒、咳嗽、呼吸困難，且血中白血球增高，其最可 能的診斷為：
國考題 病理,105-2 第82題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關肺隔離（pulmonary sequestration）之敘述，何者錯誤？
國考題 病理,105-2 第83題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關塵肺症（pneumoconioses）的敘述，何者錯誤？
國考題 病理,105-2 第84題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,脫落性間質肺炎（desquamative interstitial pneumonia）病人肺泡內大量含有色素顆粒的細胞為：
國考題 病理,105-2 第85題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何種病原體通常引起非典型肺炎（atypical pneumonia）？
國考題 病理,105-2 第86題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,65歲女性，兩側性肋膜積水，其所含蛋白質濃度較低。其最有可能診斷為下列何者？
國考題 病理,106-1 第83題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何種肺膨脹不全（atelectasis）通常為不可逆之變化？
國考題 病理,106-1 第84題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關煤工塵肺症（coal worker pneumoconiosis）的敘述，何者錯誤？
國考題 病理,106-1 第85題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關肺泡蛋白沉積症（alveolar proteinosis）的敘述，何者錯誤？
國考題 病理,106-1 第86題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,50歲男性咳血，ㄧ週後產生急性腎衰竭，血中C-ANCA檢查陰性，肺部切片顯示肺泡壞死及出血，合併血鐵質 （hemosiderin）沉積。此病人最有可能患有下列何種肺部出血疾病？
國考題 病理,106-1 第87題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列那項肺臟疾病，最有可能出現嗜中性白血球滲出物？
國考題 病理,106-2 第85題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何種腫瘤最少見於前縱隔腔？
國考題 病理,106-2 第86題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關石棉塵肺症（asbestosis）的敘述，何者錯誤？
國考題 病理,106-2 第87題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,對於免疫力低落的病人，下列何者最少感染其肺部？
國考題 病理,106-2 第88題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,肺鱗狀上皮細胞癌之特徵與下列那一項最不相關？
國考題 病理,106-2 第99題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,一名罹患慢性白血病的女孩化療並未完全得到緩解，六個月後，X光檢查發現右中肺葉浸潤。接著大腦出現壞 死，其鏡下所見如圖，則所見到的是：
國考題 病理,107-1 第86題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者是診斷急性肺傷害引起之急性呼吸窘迫症候群最重要的病理特徵？
國考題 病理,107-1 第87題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關特發性肺纖維化（idiopathic pulmonary fibrosis）的病理變化的敘述，何者錯誤？
國考題 病理,107-1 第88題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關肺部血流疾病之敘述，何者正確？
國考題 病理,107-1 第89題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,女性的肺癌以下列何種組織型態最常見？
國考題 病理,107-2 第85題,AC,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關矽肺症（silicosis）的敘述，何者錯誤？
國考題 病理,107-2 第86題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,肺小細胞癌之特徵，與下列那一項最無關？
國考題 病理,107-2 第99題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,誤食農藥，造成呼吸困難，肺部彈性降低（low compliance），X光顯示瀰漫性肺陰影。其診斷最有可能 是：
國考題 病理,108-1 第76題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,74歲男性，發燒咳嗽，右下肺葉有⼀個圓形病灶，內含很多中性球、壞死細胞的黏稠液，此病灶最可能為：
國考題 病理,108-1 第85題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,9歲男孩⾃上週以來四肢瘀傷。⾝體檢查：四肢瘀傷及出⾎斑點；⾎⾊素、⾎容積比、平均紅⾎球體積 （MCV）及⽩⾎球計數正常，⾎⼩板明顯降低。病⼈3週前曾有呼吸道融合病毒（respiratory syncytial virus）感染。病⼈狀況經使⽤類固醇治療後緩和。下列何者為此病⼈出⾎傾向之最可能原因？
國考題 病理,108-1 第86題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,上呼吸道腫瘤利⽤免疫組織化學染⾊，發現腫瘤細胞表現synaptophysin與chromogranin抗原時，下列何者 為最可能的診斷？
國考題 病理,108-1 第87題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關類⾁瘤（sarcoidosis）的敘述，何者錯誤？
國考題 病理,108-1 第88題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,⼤學⽣騎機⾞不幸發⽣⾞禍，造成左⼩腿複雜性骨折，經開⼑固定後，病情穩定。數⽇後胸痛、呼吸困難， 轉入加護病房，其診斷最可能為：
國考題 病理,108-2 第80題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,臨床上高度懷疑是肺癌的病人，同時呈現高血鈣（hypercalcemia）之現象時，則其肺部腫瘤之病理切片結果 最可能是：
國考題 病理,108-2 第86題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關機化性肺炎（organizing pneumonia）的敘述，何者錯誤？
國考題 病理,108-2 第87題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,急性氣管炎合併肺部瀰漫性間質發炎，最可能是下列那一類感染引起？
國考題 病理,108-2 第88題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,肺膨脹不全（atelectasis）最少見於：
國考題 病理,109-1 第82題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列身體水腫（edema）與積液的情況中，何者致病機制與其他三者不同？
國考題 病理,109-1 第87題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何種疾病的發生與石棉塵肺症（asbestosis）較沒有相關？
國考題 病理,109-1 第88題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何種肺癌相對其它選項較常具有表皮生長因子受體（epidermal growth factor receptor）基因的突變？
國考題 病理,109-2 第81題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,有關肺臟血栓性栓塞症（pulmonary thromboembolism）的特徵，下列何者錯誤？
國考題 病理,109-2 第87題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關氣喘的病理變化的敘述，何者錯誤？
國考題 病理,110-1 第82題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,一個過去身體健康的成年病人，因為呼吸困難求醫，醫師發現病人有明顯的胸水（pleural effusion），抽出的 胸水呈現乳白色混濁樣，胸水經生化檢查分析含有高濃度的三酸甘油脂（triglyceride），下列何者是造成病人 胸水的最可能原因？
國考題 病理,110-1 第87題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,破壞肺泡壁彈性纖維（elastin）而造成肺氣腫（emphysema）的蛋白酶主要來自：
國考題 病理,110-1 第88題,AB,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,原發性纖毛運動障礙（primary ciliary dyskinesia）較常引起下列何種肺部疾病？
國考題 病理,110-2 第86題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者不是引起肺高血壓（pulmonary hypertension）的主要原因？
國考題 病理,110-2 第87題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關間皮瘤（mesothelioma）的敘述，何者錯誤？
國考題 病理,110-2 第88題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,肺部有一局部圓形病灶，中間形成空腔，且含有濃稠黃色液體，外圍有約0.6 mm厚的纖維壁。其診斷最可能 為：
國考題 病理,111-1 第89題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者為雙側胸膜積水（hydrothorax）最常見的原因？
國考題 病理,111-1 第90題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關小細胞肺癌（small cell carcinoma）的敘述何者錯誤？
國考題 病理,111-1 第91題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者為引起急性呼吸窘迫症候群（ARDS）最常見的原因？
國考題 病理,111-2 第82題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,一個過去身體健康的25 歲女性，懷孕在某醫院婦產科定期接受產前檢查，檢查結果都正常，她後來自然產生 出一個足月男嬰，但在生產後她很快出現呼吸急促、心跳加快、發紺（cyanosis）與血壓下降，接著出現痙攣 與失去意識，請問下列情形是最可能出現在此病人的情況？
國考題 病理,111-2 第86題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關肺水腫之敘述何者錯誤？
國考題 病理,111-2 第87題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,有關特發性肺纖維化（idiopathic pulmonary fibrosis）的敘述，下列何者錯誤？
國考題 病理,112-1 第86題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,有關肺的鱗狀細胞癌（squamous cell carcinoma）的敘述，下列何者最適當？
國考題 病理,112-1 第87題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,α1-抗胰蛋白酶缺乏症（α1-antitrypsin deficiency）造成之肺氣腫類型多屬於下列何者？
國考題 病理,112-1 第88題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,肺泡玻璃樣膜（hyaline membranes of alveoli）與下列何種病變最為相關？
國考題 病理,112-2 第86題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,45歲以下，不抽菸的年輕女性，下列何者是最常見的原發性肺癌？
國考題 病理,112-2 第87題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者不屬於瀰漫性阻塞性肺疾病？
國考題 病理,112-2 第88題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關氣喘的敘述，何者最不適當？
國考題 病理,113-1 第87題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關惡性間皮瘤（malignant mesothelioma）的敘述，何者錯誤？
國考題 病理,113-1 第88題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者最不可能為氣胸（pneumothorax）的併發症？
國考題 病理,113-1 第89題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者為最常見之良性肺臟腫瘤？
國考題 病理,113-2 第87題,C,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者為影響肺栓塞（pulmonary embolism）嚴重度最重要的因素？
國考題 病理,113-2 第88題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,造成病毒性肺炎的病原，下列何者最不常見？
國考題 病理,113-2 第89題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,有關慢性支氣管炎的特徵，下列何者最不適當？
國考題 病理,114-1 第82題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,40歲男性，發燒就診，影像檢查發現雙側肺部開洞性結節，鼻竇黏膜發炎潰瘍，合併腎功能異常。 各種病原菌檢驗結果都為陰性，腎臟切片發現新月型腎絲球腎炎（crescentic glomerulonephritis），有關最有可能的診斷，下列何者錯誤？
國考題 病理,114-1 第86題,B,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列有關肺炎的敘述，何者錯誤？
國考題 病理,114-1 第87題,D,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,"下列有關特發性肺纖維化（idiopathic pulmonary fibrosis, IPF）的敘述，何者錯誤？"
國考題 病理,114-1 第88題,A,對話中逐題整理之國考答案；病理題主要依高醫病理國考專區／高點／題目詳解來源核對,下列何者為社區型細菌性肺炎最常見之病原？
國考題 胚胎,100-2 第29題,BCD,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列肺發育期間，呼吸細支氣管（respiratory bronchiole）何時出現？
國考題 胚胎,104-1 第29題,D,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,橫膈（diaphragm）的那一部分最容易產生先天性缺損？
國考題 胚胎,105-2 第31題,送分,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列那一項喉軟骨的發育與第四及第六對咽弓（pharyngeal arch）的軟骨無關？
國考題 胚胎,107-1 第32題,D,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,呼吸器官的原基（respiratory primordium）起源於下列何者的尾端（caudal end）？
國考題 胚胎,107-1 第35題,A,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列那一項構造，位於胚胎之胸心包膜（pleuropericardial membrane）內？
國考題 胚胎,107-2 第33題,B,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列何者參與形成初始橫膈（primordial diaphragm），在早期胎兒橫膈（early fetal diaphragm）時占大部 分，而在新生嬰兒之橫膈（neonate's diaphragm）只佔相當小的部分？
國考題 胚胎,107-2 第34題,B,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列何者是下呼吸道（lower respiratory tract）最常見的先天異常（the most common birth defect）？
國考題 胚胎,108-2 第33題,D,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列那一項構造，與橫膈（diaphragm）的組成無關？
國考題 胚胎,109-1 第32題,C,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,由於胚體快速的成長，所以造成橫膈背部（dorsal part of diaphragm）的最終位置，相當於下列那一椎骨的高 度？
國考題 胚胎,110-1 第32題,D,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,肌原母細胞（myoblast）進入下列何者內，衍生形成橫膈雙腳（crura of diaphragm）？
國考題 胚胎,110-1 第34題,D,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列何項構造不是源自胚胎咽弓（pharyngeal arch）？
國考題 胚胎,111-1 第33題,C,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列關於氣管（trachea）發育之敘述，何項錯誤？
國考題 胚胎,111-2 第32題,A,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列關於胚胎之胸心包膜（pleuropericardial membrane）的敘述，何項錯誤？
國考題 胚胎,111-2 第33題,C,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,下列那一項構造衍生自第三咽弓（pharyngeal arch）？
國考題 胚胎,113-1 第33題,B,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,衍生自第二咽弓（second pharyngeal arch）的肌肉，是由下列那一條腦神經支配？
國考題 胚胎,113-1 第35題,B,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,嬰兒剛出生使用肺部呼吸時，常會伴隨一些現象的改變，下列敘述何者正確？
國考題 胚胎,113-2 第33題,B,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,肺臟（lung）發育進入那一時期之後，會開始出現明顯的血氣障壁（blood-air barrier），以及產生較多 的表面張力劑（surfactant）？
國考題 胚胎,114-1 第33題,A,對話中逐題整理之國考答案；胚胎題依高點／題目詳解來源核對,胎兒的肺臟（lung）發育至下列那一時期發生早產，即使小心照護也無法存活（survive）？
